Date,County,Total_Cases,Negatives,Deaths
4/29/20,Montgomery,4177,16694,329
4/29/20,Montour,47,2955,0
4/29/20,Northampton,2008,6092,85
4/29/20,Northumberland,92,518,0
4/29/20,Perry,30,204,1
4/29/20,Philadelphia,11885,26601,424
4/29/20,Pike,369,1170,14
4/29/20,Potter,4,77,0
4/29/20,Schuylkill,343,1912,5
4/29/20,Snyder,33,185,1
4/29/20,Somerset,26,539,0
4/29/20,Sullivan,1,30,0
4/29/20,Susquehanna,81,256,8
4/29/20,Tioga,14,233,1
4/29/20,Union,33,514,0
4/29/20,Venango,7,245,0
4/29/20,Warren,1,168,0
4/29/20,Washington,113,2033,2
4/29/20,Wayne,95,496,5
4/29/20,Westmoreland,386,4378,25
4/29/20,Wyoming,19,145,2
4/29/20,York,624,6761,9
4/28/20,Adams,124,1454,1
4/28/20,Allegheny,1235,15004,87
4/28/20,Armstrong,50,624,2
4/28/20,Beaver,388,1905,59
4/28/20,Bedford,22,169,1
4/28/20,Berks,2605,5231,91
4/28/20,Blair,21,903,0
4/28/20,Bradford,28,555,2
4/28/20,Bucks,2643,7661,164
4/28/20,Butler,174,2066,6
4/28/20,Cambria,22,986,1
4/28/20,Cameron,1,46,0
4/28/20,Carbon,169,966,13
4/28/20,Centre,93,850,1
4/28/20,Chester,1256,4983,85
4/28/20,Clarion,23,466,1
4/28/20,Clearfield,11,399,0
4/28/20,Clinton,29,206,0
4/28/20,Columbia,279,540,8
4/28/20,Crawford,19,658,0
4/28/20,Cumberland,296,1339,10
4/28/20,Dauphin,553,3322,20
4/28/20,Delaware,3463,8127,161
4/28/20,Elk,3,148,0
4/28/20,Erie,86,1770,2
4/28/20,Fayette,79,1682,4
4/28/20,Forest,7,27,0
4/28/20,Franklin,237,2695,4
4/28/20,Fulton,3,75,0
4/28/20,Greene,26,395,0
4/28/20,Huntingdon,26,242,0
4/28/20,Indiana,62,613,4
4/28/20,Jefferson,4,308,0
4/28/20,Juniata,81,122,0
4/28/20,Lackawanna,854,2197,71
4/28/20,Lancaster,1678,7297,78
4/28/20,Lawrence,63,681,5
4/28/20,Lebanon,635,2444,8
4/28/20,Lehigh,2685,6883,64
4/28/20,Luzerne,2078,4508,74
4/28/20,Lycoming,58,1034,0
4/28/20,McKean,5,158,0
4/28/20,Mercer,66,673,1
4/28/20,Mifflin,34,640,0
4/28/20,Monroe,1097,2482,48
4/28/20,Montgomery,4043,16236,249
4/28/20,Montour,47,2948,0
4/28/20,Northampton,1970,5957,55
4/28/20,Northumberland,92,495,0
4/28/20,Perry,27,196,1
4/28/20,Philadelphia,11604,25733,276
4/28/20,Pike,362,1146,12
4/28/20,Potter,4,75,0
4/28/20,Schuylkill,330,1868,5
4/28/20,Snyder,33,181,1
4/28/20,Somerset,26,518,0
4/28/20,Sullivan,1,29,0
4/28/20,Susquehanna,82,248,4
4/28/20,Tioga,14,216,1
4/28/20,Union,33,510,0
4/28/20,Venango,7,235,0
4/28/20,Warren,1,165,0
4/28/20,Washington,109,1985,2
4/28/20,Wayne,93,490,3
4/28/20,Westmoreland,383,4280,20
4/28/20,Wyoming,18,135,2
4/28/20,York,614,6644,9
4/27/20,Adams,122,1434,1
4/27/20,Allegheny,1224,14765,79
4/27/20,Armstrong,47,606,2
4/27/20,Beaver,387,1898,46
4/27/20,Bedford,21,162,1
4/27/20,Berks,2526,5072,89
4/27/20,Blair,21,886,0
4/27/20,Bradford,28,522,2
4/27/20,Bucks,2585,7497,148
4/27/20,Butler,170,2041,6
4/27/20,Cambria,21,938,1
4/27/20,Cameron,1,45,0
4/27/20,Carbon,164,948,12
4/27/20,Centre,87,831,1
4/27/20,Chester,1214,4895,81
4/27/20,Clarion,22,464,1
4/27/20,Clearfield,11,395,0
4/27/20,Clinton,25,193,0
4/27/20,Columbia,277,510,7
4/27/20,Crawford,19,630,0
4/27/20,Cumberland,282,1275,9
4/27/20,Dauphin,529,3158,21
4/27/20,Delaware,3361,7957,142
4/27/20,Elk,3,148,0
4/27/20,Erie,81,1621,0
4/27/20,Fayette,79,1648,4
4/27/20,Forest,7,26,0
4/27/20,Franklin,227,2630,2
4/27/20,Fulton,3,74,0
4/27/20,Greene,25,393,0
4/27/20,Huntingdon,24,233,0
4/27/20,Indiana,63,598,4
4/27/20,Jefferson,4,305,0
4/27/20,Juniata,79,117,0
4/27/20,Lackawanna,833,2107,63
4/27/20,Lancaster,1633,7125,75
4/27/20,Lawrence,63,667,5
4/27/20,Lebanon,621,2397,7
4/27/20,Lehigh,2636,6805,56
4/27/20,Luzerne,2035,4362,71
4/27/20,Lycoming,57,1010,0
4/27/20,McKean,5,155,0
4/27/20,Mercer,65,664,1
4/27/20,Mifflin,30,622,0
4/27/20,Monroe,1083,2441,46
4/27/20,Montgomery,3817,15022,232
4/27/20,Montour,48,2942,0
4/27/20,Northampton,1834,5843,49
4/27/20,Northumberland,90,473,0
4/27/20,Perry,26,182,1
4/27/20,Philadelphia,11361,25299,274
4/27/20,Pike,352,1120,12
4/27/20,Potter,4,73,0
4/27/20,Schuylkill,324,1825,5
4/27/20,Snyder,33,177,1
