Date,County,Total_Cases,Negatives,Deaths
2020-04-29,Lancaster,1703,7423,103
2020-04-29,Lawrence,64,711,6
2020-04-29,Lebanon,648,2493,9
2020-04-29,Lehigh,2719,6973,72
2020-04-29,Luzerne,2111,4635,82
2020-04-29,Lycoming,61,1061,0
2020-04-29,McKean,6,162,0
2020-04-29,Mercer,65,707,1
2020-04-29,Mifflin,36,647,0
2020-04-29,Monroe,1111,2583,54
2020-04-29,Montgomery,4177,16694,329
2020-04-29,Montour,47,2955,0
2020-04-29,Northampton,2008,6092,85
2020-04-29,Northumberland,92,518,0
2020-04-29,Perry,30,204,1
2020-04-29,Philadelphia,11885,26601,424
2020-04-29,Pike,369,1170,14
2020-04-29,Potter,4,77,0
2020-04-29,Schuylkill,343,1912,5
2020-04-29,Snyder,33,185,1
2020-04-29,Somerset,26,539,0
2020-04-29,Sullivan,1,30,0
2020-04-29,Susquehanna,81,256,8
2020-04-29,Tioga,14,233,1
2020-04-29,Union,33,514,0
2020-04-29,Venango,7,245,0
2020-04-29,Warren,1,168,0
2020-04-29,Washington,113,2033,2
2020-04-29,Wayne,95,496,5
2020-04-29,Westmoreland,386,4378,25
2020-04-29,Wyoming,19,145,2
2020-04-29,York,624,6761,9
2020-04-28,Adams,124,1454,1
2020-04-28,Allegheny,1235,15004,87
2020-04-28,Armstrong,50,624,2
2020-04-28,Beaver,388,1905,59
2020-04-28,Bedford,22,169,1
2020-04-28,Berks,2605,5231,91
2020-04-28,Blair,21,903,0
2020-04-28,Bradford,28,555,2
2020-04-28,Bucks,2643,7661,164
2020-04-28,Butler,174,2066,6
2020-04-28,Cambria,22,986,1
2020-04-28,Cameron,1,46,0
2020-04-28,Carbon,169,966,13
2020-04-28,Centre,93,850,1
2020-04-28,Chester,1256,4983,85
2020-04-28,Clarion,23,466,1
2020-04-28,Clearfield,11,399,0
2020-04-28,Clinton,29,206,0
2020-04-28,Columbia,279,540,8
2020-04-28,Crawford,19,658,0
2020-04-28,Cumberland,296,1339,10
2020-04-28,Dauphin,553,3322,20
2020-04-28,Delaware,3463,8127,161
2020-04-28,Elk,3,148,0
2020-04-28,Erie,86,1770,2
2020-04-28,Fayette,79,1682,4
2020-04-28,Forest,7,27,0
2020-04-28,Franklin,237,2695,4
2020-04-28,Fulton,3,75,0
2020-04-28,Greene,26,395,0
2020-04-28,Huntingdon,26,242,0
2020-04-28,Indiana,62,613,4
2020-04-28,Jefferson,4,308,0
2020-04-28,Juniata,81,122,0
2020-04-28,Lackawanna,854,2197,71
2020-04-28,Lancaster,1678,7297,78
2020-04-28,Lawrence,63,681,5
2020-04-28,Lebanon,635,2444,8
2020-04-28,Lehigh,2685,6883,64
2020-04-28,Luzerne,2078,4508,74
2020-04-28,Lycoming,58,1034,0
2020-04-28,McKean,5,158,0
2020-04-28,Mercer,66,673,1
2020-04-28,Mifflin,34,640,0
2020-04-28,Monroe,1097,2482,48
2020-04-28,Montgomery,4043,16236,249
2020-04-28,Montour,47,2948,0
2020-04-28,Northampton,1970,5957,55
2020-04-28,Northumberland,92,495,0
2020-04-28,Perry,27,196,1
2020-04-28,Philadelphia,11604,25733,276
2020-04-28,Pike,362,1146,12
2020-04-28,Potter,4,75,0
2020-04-28,Schuylkill,330,1868,5
2020-04-28,Snyder,33,181,1
2020-04-28,Somerset,26,518,0
2020-04-28,Sullivan,1,29,0
2020-04-28,Susquehanna,82,248,4
2020-04-28,Tioga,14,216,1
2020-04-28,Union,33,510,0
2020-04-28,Venango,7,235,0
2020-04-28,Warren,1,165,0
2020-04-28,Washington,109,1985,2
2020-04-28,Wayne,93,490,3
2020-04-28,Westmoreland,383,4280,20
